Time,Lat,Long,Temp,Prcp,Wvel,Wdir
2020-01-19 15:00:00.0000000,1.79999995,-78.86000061,1.0527344,0.00016934,7.8656564,-3.0814245
2020-01-19 18:00:00.0000000,1.79999995,-78.86000061,1.363444,0.00015213,8.5050745,1.002472
2020-01-19 21:00:00.0000000,1.79999995,-78.86000061,1.5365397,8.16e-05,9.416384,-0.904404
2020-01-20 00:00:00.0000000,1.79999995,-78.86000061,1.3175354,0.00032051,9.057034,1.079267
2020-01-20 03:00:00.0000000,1.79999995,-78.86000061,0.4953715,0.00095056,7.502708,-1.0214331
2020-01-20 06:00:00.0000000,1.79999995,-78.86000061,0.6644185,0.00042028,5.9941916,-2.747337
2020-01-20 09:00:00.0000000,1.79999995,-78.86000061,-0.20868938,0.00038502,2.6576576,0.5310307
2020-01-20 12:00:00.0000000,1.79999995,-78.86000061,-1.015625,0.00041405,4.6502166,2.3965132
2020-01-20 15:00:00.0000000,1.79999995,-78.86000061,-0.6359965,0.00015181,4.589195,2.3863435
2020-01-20 18:00:00.0000000,1.79999995,-78.86000061,-0.16862996,0.00021262,5.5905156,2.3859062
2020-01-20 21:00:00.0000000,1.79999995,-78.86000061,0.5999959,0.00035778,4.820769,2.3150818
2020-01-21 00:00:00.0000000,1.79999995,-78.86000061,0.00822957,0.00028124,3.9902585,2.8949594
2020-01-21 03:00:00.0000000,1.79999995,-78.86000061,-0.537618,9.9e-05,4.9988675,2.9971516
2020-01-21 06:00:00.0000000,1.79999995,-78.86000061,-0.39919028,0.00022254,4.028987,2.9561899
2020-01-21 09:00:00.0000000,1.79999995,-78.86000061,-0.65030926,0.00021959,5.582411,2.598614
2020-01-21 12:00:00.0000000,1.79999995,-78.86000061,-0.93459064,0.00061632,4.9046035,2.3618543
2020-01-21 15:00:00.0000000,1.79999995,-78.86000061,-1.0877482,0.00057916,4.187203,1.7647362
2020-01-21 18:00:00.0000000,1.79999995,-78.86000061,-0.66522217,8.38e-05,4.1656785,1.7372328
2020-01-21 21:00:00.0000000,1.79999995,-78.86000061,-0.5749003,1.4e-05,5.737772,1.5184733
2020-01-22 00:00:00.0000000,1.79999995,-78.86000061,-0.9095866,5.41e-05,5.555208,1.2949479
2020-01-22 03:00:00.0000000,1.79999995,-78.86000061,-0.94736737,0.00010726,6.026699,1.1462028
2020-01-22 06:00:00.0000000,1.79999995,-78.86000061,-1.2087911,0.00087212,7.489767,0.93386346
2020-01-22 09:00:00.0000000,1.79999995,-78.86000061,-1.7973938,0.00094792,7.6251087,0.719193
2020-01-22 12:00:00.0000000,1.79999995,-78.86000061,-1.7308451,0.00010019,7.2493997,0.7019088
2020-01-22 15:00:00.0000000,1.79999995,-78.86000061,-1.5782166,9.39e-05,6.797592,0.81275517
