Time,Lat,Long,SST,SSH,SS
2020-11-23 00:00:00.0000000,2,-78.83333588,27.453566,0.3109836,32.0307
2020-11-24 00:00:00.0000000,2,-78.83333588,27.3708,0.30243844,31.995605
2020-11-25 00:00:00.0000000,2,-78.83333588,27.321726,0.3134251,32.047485
2020-11-26 00:00:00.0000000,2,-78.83333588,27.278511,0.2990814,32.100895
2020-11-27 00:00:00.0000000,2,-78.83333588,27.248482,0.28138065,32.126835
2020-11-28 00:00:00.0000000,2,-78.83333588,27.28144,0.27161473,32.096317
2020-11-29 00:00:00.0000000,2,-78.83333588,27.307077,0.27466658,31.998657
2020-11-30 00:00:00.0000000,2,-78.83333588,27.266792,0.26459548,32.026123
2020-12-01 00:00:00.0000000,2,-78.83333588,27.19428,0.24353771,32.087162
2020-12-02 00:00:00.0000000,2,-78.83333588,27.225777,0.25147253,32.100895
2020-12-03 00:00:00.0000000,2,-78.83333588,27.099064,0.27375102,32.107
2020-12-04 00:00:00.0000000,2,-78.83333588,27.12836,0.28534806,32.134464
2020-12-05 00:00:00.0000000,2,-78.83333588,27.232368,0.27710807,32.097843
2020-12-06 00:00:00.0000000,2,-78.83333588,27.324656,0.28199103,32.103947
2020-12-07 00:00:00.0000000,2,-78.83333588,27.258003,0.29145175,32.05359
2020-12-08 00:00:00.0000000,2,-78.83333588,27.157658,0.31220436,32.052063
2020-12-09 00:00:00.0000000,2,-78.83333588,27.384716,0.3009125,32.052063
2020-12-10 00:00:00.0000000,2,-78.83333588,27.127628,0.31556138,31.728569
2020-12-11 00:00:00.0000000,2,-78.83333588,27.117374,0.30762658,31.916258
2020-12-12 00:00:00.0000000,2,-78.83333588,27.261665,0.29786065,31.931517
2020-12-13 00:00:00.0000000,2,-78.83333588,26.935728,0.29755548,30.628376
2020-12-14 00:00:00.0000000,2,-78.83333588,26.837582,0.30976287,31.011383
2020-12-15 00:00:00.0000000,2,-78.83333588,27.132755,0.2969451,31.83996
2020-12-16 00:00:00.0000000,2,-78.83333588,27.222847,0.30823696,31.81402
2020-12-17 00:00:00.0000000,2,-78.83333588,27.17011,0.28992584,31.80639
2020-12-18 00:00:00.0000000,2,-78.83333588,27.195745,0.29358807,31.85522
2020-12-19 00:00:00.0000000,2,-78.83333588,27.051455,0.28321177,31.865902
2020-12-20 00:00:00.0000000,2,-78.83333588,27.05585,0.27344584,31.923887
2020-12-21 00:00:00.0000000,2,-78.83333588,27.15546,0.26886806,31.914732
2020-12-22 00:00:00.0000000,2,-78.83333588,27.192816,0.26703694,31.884212
2020-12-23 00:00:00.0000000,2,-78.83333588,27.252876,0.26734215,31.884212
2020-12-24 00:00:00.0000000,2,-78.83333588,27.170843,0.25360882,31.922361
2020-12-25 00:00:00.0000000,2,-78.83333588,27.175238,0.26337475,31.954405
2020-12-26 00:00:00.0000000,2,-78.83333588,27.109318,0.28321177,31.981873
2020-12-27 00:00:00.0000000,2,-78.83333588,27.264595,0.3027436,31.91168
2020-12-28 00:00:00.0000000,2,-78.83333588,27.282906,0.30243844,31.781977
2020-12-29 00:00:00.0000000,2,-78.83333588,27.273384,0.28931546,31.760612
2020-12-30 00:00:00.0000000,2,-78.83333588,27.342968,0.27802363,31.789606
2020-12-31 00:00:00.0000000,2,-78.83333588,27.268257,0.2847377,31.745354
2021-01-01 00:00:00.0000000,2,-78.83333588,27.231636,0.2990814,31.553087
2021-01-02 00:00:00.0000000,2,-78.83333588,27.222847,0.29389325,31.432539
2021-01-03 00:00:00.0000000,2,-78.83333588,27.11884,0.28717917,31.458479
2021-01-04 00:00:00.0000000,2,-78.83333588,27.181097,0.28351694,31.403545
2021-01-05 00:00:00.0000000,2,-78.83333588,27.125431,0.2923673,31.369976
2021-01-06 00:00:00.0000000,2,-78.83333588,27.153996,0.2948088,31.28605
2021-01-07 00:00:00.0000000,2,-78.83333588,27.305613,0.2923673,31.098362
2021-01-08 00:00:00.0000000,2,-78.83333588,27.145939,0.28015992,30.867947
2021-01-09 00:00:00.0000000,2,-78.83333588,27.063906,0.25543994,30.767235
2021-01-10 00:00:00.0000000,2,-78.83333588,27.24482,0.24842067,30.706198
2021-01-11 00:00:00.0000000,2,-78.83333588,27.246284,0.26154363,30.547503
2021-01-12 00:00:00.0000000,2,-78.83333588,27.446974,0.28962067,30.562761
2021-01-13 00:00:00.0000000,2,-78.83333588,27.512161,0.29206213,30.625324
2021-01-14 00:00:00.0000000,2,-78.83333588,27.290232,0.32441175,30.753502
2021-01-15 00:00:00.0000000,2,-78.83333588,27.29902,0.3357036,31.145664
2021-01-16 00:00:00.0000000,2,-78.83333588,27.34077,0.33448285,31.008331
2021-01-17 00:00:00.0000000,2,-78.83333588,27.419874,0.3238014,30.542925
2021-01-18 00:00:00.0000000,2,-78.83333588,27.455763,0.31769767,30.335398
2021-01-19 00:00:00.0000000,2,-78.83333588,27.305613,0.319834,30.219429
2021-01-20 00:00:00.0000000,2,-78.83333588,27.345165,0.28931546,30.738243
2021-01-21 00:00:00.0000000,2,-78.83333588,27.20014,0.27283546,30.993073
2021-01-22 00:00:00.0000000,2,-78.83333588,27.178167,0.2969451,31.179235
2021-01-23 00:00:00.0000000,2,-78.83333588,27.359814,0.30152288,31.247902
2021-01-24 00:00:00.0000000,2,-78.83333588,27.311472,0.30060732,31.083101
2021-01-25 00:00:00.0000000,2,-78.83333588,27.255806,0.28321177,30.916777
2021-01-26 00:00:00.0000000,2,-78.83333588,26.91815,0.26917326,29.720451
2021-01-27 00:00:00.0000000,2,-78.83333588,26.92108,0.27619252,29.865414
2021-01-28 00:00:00.0000000,2,-78.83333588,27.14301,0.2804651,30.878628
